"LoanNr_ChkDgt","MIS_Status","GrAppv","Term","NoEmp","DisbursementGross","ChgOffPrinGr","Loan_Status"
8656773006,"P I F                                                                                               ",20000.00,12,18,20000.00,0.00,"Declined"
8656784005,"P I F                                                                                               ",35000.00,84,2,35000.00,0.00,"Declined"
8656804009,"P I F                                                                                               ",115000.00,84,8,115000.00,0.00,"Approved"
8656813005,"P I F                                                                                               ",108000.00,300,12,108000.00,0.00,"Declined"
8656824004,"CHGOFF                                                                                              ",389963.00,54,1,389963.00,152545.00,"Declined"
8656834007,"P I F                                                                                               ",350000.00,11,7,350000.00,0.00,"Approved"
8656854002,"P I F                                                                                               ",323000.00,84,14,266000.00,0.00,"Approved"
8656873001,"P I F                                                                                               ",264000.00,175,4,264000.00,0.00,"Declined"
8656893007,"P I F                                                                                               ",463829.00,246,19,463829.00,0.00,"Declined"
8656894003,"P I F                                                                                               ",150000.00,66,1,150000.00,0.00,"Approved"
8656904004,"P I F                                                                                               ",105000.00,84,18,105000.00,0.00,"Approved"
8656914007,"P I F                                                                                               ",150000.00,120,5,150000.00,0.00,"Declined"
8656954008,"P I F                                                                                               ",150000.00,84,12,150000.00,0.00,"Approved"
8656963004,"P I F                                                                                               ",100000.00,120,5,100000.00,0.00,"Declined"
8657214000,"P I F                                                                                               ",825000.00,84,70,825000.00,0.00,"Declined"
8656973007,"P I F                                                                                               ",97000.00,240,15,97000.00,0.00,"Declined"
8656983010,"P I F                                                                                               ",72000.00,180,5,72000.00,0.00,"Declined"
8656984006,"P I F                                                                                               ",1500000.00,120,10,1500000.00,0.00,"Declined"
8656993002,"P I F                                                                                               ",201000.00,240,23,195000.00,0.00,"Declined"
8657004007,"P I F                                                                                               ",250000.00,84,10,500000.00,0.00,"Approved"
8657023006,"P I F                                                                                               ",75000.00,84,3,75000.00,0.00,"Approved"
8657024002,"P I F                                                                                               ",50000.00,60,13,50450.00,0.00,"Approved"
8657033009,"P I F                                                                                               ",52400.00,84,15,52400.00,0.00,"Approved"
8657034005,"CHGOFF                                                                                              ",25000.00,60,4,47500.00,18000.00,"Declined"
8657043001,"P I F                                                                                               ",22500.00,60,1,22500.00,0.00,"Declined"
8657053004,"P I F                                                                                               ",85000.00,84,4,85000.00,0.00,"Approved"
8657054000,"P I F                                                                                               ",5000.00,84,1,5000.00,0.00,"Declined"
8657063007,"P I F                                                                                               ",108000.00,300,40,108000.00,0.00,"Declined"
8657073010,"P I F                                                                                               ",306000.00,156,2,258840.00,0.00,"Declined"
1147685006,NULL,10000.00,84,1,3444.00,0.00,"Declined"
8657084009,"P I F                                                                                               ",40000.00,3,4,40000.00,0.00,"Declined"
8657094001,"P I F                                                                                               ",140000.00,120,1,140000.00,0.00,"Declined"
8657103006,"P I F                                                                                               ",100000.00,60,2,100000.00,0.00,"Approved"
8657104002,"P I F                                                                                               ",10000.00,24,1,15000.00,0.00,"Declined"
8657133004,"P I F                                                                                               ",35000.00,84,45,35000.00,0.00,"Declined"
8657134000,"P I F                                                                                               ",81000.00,60,2,81000.00,0.00,"Approved"
8657143007,"P I F                                                                                               ",80000.00,120,9,80000.00,0.00,"Declined"
8657153010,"P I F                                                                                               ",95000.00,84,1,95000.00,0.00,"Approved"
8657164009,"P I F                                                                                               ",10000.00,84,3,10811.00,0.00,"Declined"
8657174001,"CHGOFF                                                                                              ",120000.00,45,3,120000.00,62926.00,"Declined"
8657193000,"P I F                                                                                               ",54000.00,60,1,54000.00,0.00,"Approved"
8657203001,"P I F                                                                                               ",83000.00,84,2,83000.00,0.00,"Approved"
8657204008,"P I F                                                                                               ",60000.00,60,2,30048.00,0.00,"Approved"
8657213004,"P I F                                                                                               ",288000.00,300,6,288000.00,0.00,"Declined"
8657224003,"P I F                                                                                               ",70000.00,60,10,70000.00,0.00,"Approved"
8657233010,"P I F                                                                                               ",27000.00,60,4,27000.00,0.00,"Declined"
8657234006,"P I F                                                                                               ",10000.00,60,3,10179.00,0.00,"Declined"
8657244009,"P I F                                                                                               ",410000.00,120,21,380000.00,0.00,"Approved"
8657253005,"P I F                                                                                               ",500000.00,300,5,500000.00,0.00,"Declined"
8657254001,"P I F                                                                                               ",250000.00,84,10,250000.00,0.00,"Approved"
8657263008,"CHGOFF                                                                                              ",148000.00,63,21,148000.00,134172.00,"Declined"
8657264004,"P I F                                                                                               ",294000.00,240,21,294000.00,0.00,"Declined"
8657283003,"P I F                                                                                               ",500000.00,300,7,500000.00,0.00,"Declined"
8657293006,"P I F                                                                                               ",160000.00,240,12,160000.00,0.00,"Declined"
8657303007,"P I F                                                                                               ",82170.00,157,4,82170.00,0.00,"Declined"
8657304003,"P I F                                                                                               ",26700.00,36,7,26700.00,0.00,"Declined"
8657313010,"P I F                                                                                               ",393750.00,300,16,393750.00,0.00,"Declined"
8657323002,"P I F                                                                                               ",85000.00,180,3,85000.00,0.00,"Declined"
8657333005,"P I F                                                                                               ",215000.00,180,24,215000.00,0.00,"Declined"
8657353000,"P I F                                                                                               ",371600.00,180,2,371600.00,0.00,"Declined"
8657354007,"P I F                                                                                               ",165000.00,120,10,150000.00,0.00,"Declined"
8657363003,"P I F                                                                                               ",30000.00,24,10,30000.00,0.00,"Declined"
8657373006,"P I F                                                                                               ",11000.00,72,1,11000.00,0.00,"Declined"
8657374002,"P I F                                                                                               ",150000.00,84,10,150000.00,0.00,"Approved"
8657384005,"P I F                                                                                               ",470000.00,60,15,470000.00,0.00,"Approved"
8657393001,"P I F                                                                                               ",22000.00,60,3,22000.00,0.00,"Declined"
8657423008,"P I F                                                                                               ",256000.00,240,14,256000.00,0.00,"Declined"
8657433000,"P I F                                                                                               ",65500.00,9,27,65500.00,0.00,"Approved"
8657444010,"P I F                                                                                               ",400000.00,300,3,400000.00,0.00,"Declined"
8657453006,"P I F                                                                                               ",50000.00,48,1,50000.00,0.00,"Approved"
8657454002,"P I F                                                                                               ",348000.00,120,12,348000.00,0.00,"Approved"
8657463009,"P I F                                                                                               ",50000.00,73,9,50000.00,0.00,"Approved"
8657473001,"P I F                                                                                               ",250000.00,60,22,120200.00,0.00,"Approved"
8657493007,"P I F                                                                                               ",75000.00,84,1,75000.00,0.00,"Approved"
8657503008,"P I F                                                                                               ",100000.00,121,1,100000.00,0.00,"Declined"
8657504004,"CHGOFF                                                                                              ",5000.00,74,10,5000.00,4919.00,"Declined"
8657513000,"P I F                                                                                               ",150000.00,84,50,150000.00,0.00,"Approved"
8657654003,"P I F                                                                                               ",15000.00,48,2,15000.00,0.00,"Declined"
8657543009,"P I F                                                                                               ",252000.00,240,6,252000.00,0.00,"Declined"
8657554008,"P I F                                                                                               ",100000.00,84,1,204368.00,0.00,"Approved"
8657563004,"P I F                                                                                               ",188000.00,240,14,188000.00,0.00,"Declined"
8657564000,"P I F                                                                                               ",470000.00,125,12,424616.00,0.00,"Declined"
8657573007,"P I F                                                                                               ",71000.00,84,4,71000.00,0.00,"Approved"
8657584006,"CHGOFF                                                                                              ",10000.00,55,2,10000.00,8832.00,"Declined"
8657594009,"CHGOFF                                                                                              ",50000.00,67,4,50000.00,49966.00,"Declined"
8657604010,"P I F                                                                                               ",30000.00,84,7,41433.00,0.00,"Declined"
8657613006,"P I F                                                                                               ",30000.00,60,3,30000.00,0.00,"Declined"
8657624005,"CHGOFF                                                                                              ",100000.00,10,30,100000.00,100000.00,"Declined"
8657634008,"P I F                                                                                               ",17000.00,84,6,17000.00,0.00,"Declined"
8657643004,"P I F                                                                                               ",225000.00,120,1,225000.00,0.00,"Declined"
8657644000,"P I F                                                                                               ",228000.00,300,6,218000.00,0.00,"Declined"
8657653007,"P I F                                                                                               ",210000.00,120,8,210000.00,0.00,"Declined"
8675053008,"P I F                                                                                               ",36000.00,60,23,36000.00,0.00,"Declined"
8657663010,"P I F                                                                                               ",293000.00,240,20,293000.00,0.00,"Declined"
8657664006,"CHGOFF                                                                                              ",34500.00,19,1,34500.00,16327.00,"Declined"
8657674009,"P I F                                                                                               ",10000.00,84,2,30901.00,0.00,"Declined"
8657684001,"P I F                                                                                               ",10000.00,84,3,10000.00,0.00,"Declined"
8657693008,"P I F                                                                                               ",305000.00,120,8,305000.00,0.00,"Approved"
8657703009,"P I F                                                                                               ",40000.00,84,3,40000.00,0.00,"Declined"
8657724000,"P I F                                                                                               ",21000.00,84,7,21000.00,0.00,"Declined"
8657734003,"P I F                                                                                               ",120000.00,36,23,150000.00,0.00,"Approved"
8657744006,"P I F                                                                                               ",20000.00,84,35,79180.00,0.00,"Declined"
8657754009,"P I F                                                                                               ",10000.00,36,2,10000.00,0.00,"Declined"
8657774004,"P I F                                                                                               ",100000.00,60,9,100000.00,0.00,"Approved"
8657783000,"P I F                                                                                               ",80000.00,63,26,80000.00,0.00,"Approved"
8657794010,"CHGOFF                                                                                              ",127500.00,43,2,127500.00,80386.00,"Declined"
1140175003,NULL,10000.00,84,15,1446.00,0.00,"Declined"
8657803004,"P I F                                                                                               ",205000.00,308,24,191000.00,0.00,"Declined"
8657804000,"P I F                                                                                               ",10000.00,84,1,10000.00,0.00,"Declined"
8657813007,"P I F                                                                                               ",90000.00,120,25,90000.00,0.00,"Declined"
8657814003,"P I F                                                                                               ",26400.00,87,1,26400.00,0.00,"Declined"
8657823010,"P I F                                                                                               ",30000.00,84,2,30000.00,0.00,"Declined"
